IDEN	wfoodexp	winc
L0001	115.22	3.69
L0002	135.98	4.39
L0003	119.34	4.75
L0004	114.96	6.03
L0005	187.05	12.47
L0006	243.92	12.98
L0007	267.43	14.2
L0008	238.71	14.76
L0009	295.94	15.32
L0010	317.78	16.39
L0011	216	17.35
L0012	240.35	17.77
L0013	386.57	17.93
L0014	261.53	18.43
L0015	249.34	18.55
L0016	309.87	18.8
L0017	345.89	18.81
L0018	165.54	19.04
L0019	196.98	19.22
L0020	395.26	19.93
L0021	406.34	20.13
L0022	171.92	20.33
L0023	303.23	20.37
L0024	377.04	20.43
L0025	194.35	21.45
L0026	213.48	22.52
L0027	293.87	22.55
L0028	259.61	22.86
L0029	323.71	24.2
L0030	275.02	24.39
L0031	109.71	24.42
L0032	359.19	25.2
L0033	201.51	25.5
L0034	460.36	26.61
L0035	447.76	26.7
L0036	482.55	27.14
L0037	438.29	27.16
L0038	587.66	28.62
L0039	257.95	29.4
L0040	375.73	33.4
